penulis,id_user,waktu,isi_tweet,label
aid,@aid,2025-11-05T04:19:16.000Z,"di kls kajian SR td dosenny bilang kesalah satu mahasiswa: ""esaimu sudah di tulis dgn sangat jujur dibanding yg lain kelihatan msh pakai chatgpt"" seakan semuanya pake chatgpt kah?? bjir ini yg nulis sampe mumet ga berani buka chatgpt sm skl merasa tertusuk, seenaknya berspekulasi",-1
Dorothyyy.,@Dorothyyy.,2025-07-25T15:54:25.000Z,gw baru tau kalo sekarang di chatgpt ada humanize ai  gw barusan coba teks hasil dari humanize ai-nya chatgpt ke gptzero dan ternyata kedeteksinya 87% human loh  bagus dong kalo gitu,1
nie,@nie,2025-04-22T14:01:31.000Z,Allah dan ChatGPT bersama mahasiswa smt 6,1
intan,@intan,2024-11-08T06:54:11.000Z,"unik bgt dospem gue fak, mahasiswa bimbingan sama dia, dia bimbingan sm chatgpt",-1
gegaragavi,@gegaragavi,2024-07-22T15:29:13.000Z,"[Boleh gak mahasiswa pake AI?]  -Thread tanpa iklan- Ini beberapa pembahasan yang mau gue bahas, boleh minta tolong dishare ya, ini hanya pemikiran gue.   Banyak yang nanya sebenenrya pake chatgpt gimana sih? gue bilang sih boleh, tapi ada tapi nya nih, tapinya banyak",0
Grok,@Grok,2025-12-19T07:37:35.000Z,"Halo wishedlantern! Ini X Wrapped 2025-mu berdasarkan aktivitas akunmu.   - Most viral post: ""chatgpt pro "" (2 likes, 30 replies, 232 views) - Top fav topics: Kehidupan mahasiswa, jual-beli (), makanan & belajar (UTBK/UAS) - Top memories: Diskusi laprak & meal prep, tag teman",0
mivuww,@mivuww,2025-06-15T13:59:58.000Z,"WTS ChatGPT Plus/Team -Via Invite lewat gmail -1 Bulan 20K -Akses GPT 4o, GPT 4.5, dll -No limit kirim file/photo -Bisa kirim hingga 10 file/photo dalam satu prompt -History ga terlihat anggota lain -Dapat akses fitur baru GPT #ChatGPT #mahasiswa #kampus #kuliah #kerja #pelajar",0
????,@????,2025-12-12T04:04:24.000Z,chatgpt wrapped 2025 bruh lu tuh mahasiswa otaklu tuh encer  kerjain sendiri napa,-1
Dira,@Dira,2025-06-21T03:24:59.000Z,Kan kata gue juga jangan terlalu ngajarin mahasiswa pake chatgpt. Ga semua org bisa dan ada kemauan buat reread dan review..,-1
YoelSumitro,@YoelSumitro,2024-05-04T12:59:15.000Z,Gw udah jadi dosen di Postdam Uni for 5 weeks now ngajar for UXR. Ini beberapa curhatan pak dosen:   1. Gw bisa guess sekitar 20% dari mahasiswa gw pake ChatGPT buat bikin assignment gw. Keliatan banget dari gaya bahasa jawabannya and how they can't explain their answers kalau gw,-1
sakinah???,@sakinah???,2024-08-17T11:08:04.000Z,Salahgunaan chatgpt dan quillbots dalam kalangan mahasiswa kini sangat membimbangkan ya. Sebuah penghinaan kepada intelektual manusia.,-1
iel,@iel,2023-09-27T12:48:39.000Z,Dosen tu tau bedanya kerjaan mahasiswa sm chatgpt ga ya,0
nisa,@nisa,2023-12-11T12:25:59.000Z,"can we stop normalize any kind of cheating on exam? ayolah, mahasiswa ITB loh  ujian psdme tadi yang soal2nya pilgan dan mirip tahun lalu aja banyak yang nyontek, sedih liatnya, apa bedanya sama yang pake chatgpt kemarin, bedanya cuman dia ketauan lu nya ngga",-1
andrybrew,@andrybrew,2024-05-25T11:59:35.000Z,"lagi heboh soal ngoding, apakah kita harus bisa ngoding?. jauh sebelum jamannya chatGPT, saya encourage mahasiswa saya (mhs bisnis) untuk ngoding. argumennya adalah kita masuk era digital dan big data. gimana mau kasih perintah ke komputer kalo ga bisa ngomongnya (ngoding).",1
peh,@peh,2024-12-06T02:15:26.000Z,Murka bgt pagi-pagi belom sarapan pas ngawas nemu mahasiswa pake chatgpt buat uas ^_^ mana matkul gw ^_^,-1
peh,@peh,2024-12-29T00:16:18.000Z,"Selamat pagi, mari awali pagi harimu dengan complain dari mahasiswa kenapa dapet BC padahal dia ketauan pake chatgpt pas uas.",-1
NabiylaRisfaIzzati,@NabiylaRisfaIzzati,2023-06-06T02:26:30.000Z,"Bagus nih kalau chatGPT digunakan kayak gini. Kemarin salah satu soal ujian saya, hasil prompt chatGPT, terus minta mahasiswa buat nyari celah salahnya dimana. Jadi sekaligus jadi bahan penyadaran kalau yg gini2 tuh nggak bisa kita jadikan reference plek plek.",1
juragansembako,@juragansembako,2025-01-14T12:39:34.000Z,"emang bener kata dosenku kemarin pas ada mahasiswa bimbingan proposal nunjukin chatgpt buat daftar pertanyaan interview mahasiswa sekarang tuh udah pinter2, tapi pada gapunya adab  adab diatas ilmu udah hilang",-1
.,@.,2023-12-21T02:50:37.000Z,gue suruh ChatGPT jadi mahasiswa dia nolak. trs gw coba lg suruh dia jadi guru dia kek excited gitu. TAPI KOK GUE NYA JD SALTING WKWKWKWK,1
midoriputri,@midoriputri,2025-06-13T10:22:17.000Z,Kemarin kayaknya rame soal AI atau chatgpt buat mahasiswa. Tp tingkat peneliti juga udah pake AI sih dan dibolehin.,0
ianThv.,@ianThv.,2025-08-27T15:13:08.000Z,Minimal kalo referen dr chatgpt edit dulu kek. Aku mahasiswa biasa aja tau itu hasil chat gpt apalagi dosen. The real asal kirim tanpa dibaca? #rip masa depan bangsa??,-1
Zee,@Zee,2025-05-25T06:06:34.000Z,gemini lebih enak dan bagus buat dipake mahasiswa daripada chatgpt,1
L,@L,2024-12-29T17:09:11.000Z,"Bayangin tar di tahun sekian mahasiswa ngomongnya �tapi bu, menurut chatgpt� bukan �tapi bu, menurut jurnal yang ditulis oleh xx pada tahun xx�",-1
AdityaRiky,@AdityaRiky,2025-10-12T05:14:01.000Z,"Iseng nanya ke chatgpt gimana cara ngecek apa mahasiswa jawab pakai chatgpt   Untuk mengetahui apakah mahasiswa mencontek pekerjaan dari ChatGPT (atau AI lainnya), tidak ada cara 100% pasti, tetapi ada indikator kuat dan teknik pemeriksaan yang bisa digunakan.",0
mr.Brightside,@mr.Brightside,2025-04-12T04:11:40.000Z,kesalahan terbesar dosen adalah mengajarkan mahasiswa menggunakan chatgpt,-1
AdityaRiky,@AdityaRiky,2024-05-26T04:04:14.000Z,"Kemarin ada mahasiswa ngasih sumber referensinya : ChatGPT.   Entah terlalu jujur entah gimana. Dibahas di grup tutor deh, entah dikasih nilai berapa sama tutor yang bersangkutan.",0
chd.,@chd.,2024-02-18T09:52:34.000Z,Bisa gak yaaa mahasiswa ini nulisnya jangan pakai chatGPT. AKU BISA BEDAIN WEY MANA TULISAN ASLI DAN CHAT GPT,-1
miong,@miong,2024-09-21T08:24:57.000Z,mau sujud kepada orang yang menggagas keberadaan AI yang membantu mahasiswa seperti chatgpt,1
rei.,@rei.,2024-05-01T16:59:01.000Z,this is mahasiswa (konsultasi paper sama chatgpt),0
Ceritadonna,@Ceritadonna,2023-04-02T00:09:28.000Z,Ternyata Palestine nggak semenyeramkan itu ya. Banyak perempuan yg high educated. Lulus dari University dengan gelar yg baik.   Banyak mahasiswa/i juga. Ada sekitar 24.7% lulusan University (datanga dr UNESCO 2018) sih.   Nanya chatgpt jg gaada realtime datanya..  #Palestine,0
??akbar??,@??akbar??,2025-02-18T13:50:11.000Z,bagus bgt efisiensi perpus tutup mahasiswa makin susah baca buku copas chatgpt semua orang makin goblok goblok dah,-1
???,@???,2023-11-16T09:40:24.000Z,"selain Allah, ChatGPT juga bersama dengan  mahasiswa semester tua yang stress gatau lagi harus nulis apa di tugasnya",1
nabs,@nabs,2023-10-07T14:53:15.000Z,"bjir cape bgt ini knp mahasiswa pada make chatgpt kek gamau mikir dikit, keliatan banget kalimat bikinan chatgpt isine ga nyambung blas, at least dibaca dulu lah jgn asal copy paste T_T",-1
stwn,@stwn,2023-10-22T11:59:50.000Z,Sedih kalau ada mahasiswa yg pakai ChatGPT atau sejenisnya untuk menjawab pertanyaan,-1
BaytheBey,@BaytheBey,2024-07-19T16:55:37.000Z,"Duh baru baca beberapa personal statement dari orang, tapi rasanya gaya bahasa yang dipakai mirip ChatGPT. Ko bisa sih padahal mahasiswa :(  Saya juga pakai AI tapi prom yang ditulis gak langsung ""Buatkan kalimat ..."" Saya mengutamakan teks yang diketik sendiri sepenuhnya",-1
Han,@Han,2024-05-27T17:16:13.000Z,mahasiswa chatgpt,0
.????,@.????,2024-11-13T04:30:16.000Z,"Sekarang ni dosen� kek seakan� ngajarkan chatgpt seoalh� kite mahasiswa tak tau. Padahal kite tau e dah dari jeman 2019an dan selelu ngomong ""kalian bukan mahasiswa ini, kalo tidak tau hal2 ini"" pak, kite tak mau ketauan jak kalo kite pake itu",0
twoo'clock,@twoo'clock,2023-04-22T22:05:42.000Z,Keknya IPB sekarang perlu langganan sama ChatGPT deh selain langganan ke jurnal2. Biar mahasiswa ngga perlu langganan pribadi,1
haikal,@haikal,2024-06-12T03:50:13.000Z,"agak kaget ngoreksi ujian mahasiswa, format chatgpt nya keliatan bgt",-1
je je,@je je,2025-05-21T04:42:28.000Z,untuk mahasiswa UT prodi Ilkom yg aktif/pernah menggunakan CHATGPT atau AI boleh minta waktunya dan partisipasinya untuk mengisi kuisioner aku? Terimakasih,0
affkh kt knal?,@affkh kt knal?,2025-04-14T17:04:09.000Z,"nanya dehhh, ada yang jual chatgpt pro ga sihh??? butuh #zonauang #Mahasiswa",1
biii,@biii,2024-08-30T03:39:54.000Z,"beli chatgpt plus berapaan yaaa???? yg trusted plis, duit mahasiswa tiris soalnya #zonauang??",1
han the kid,@han the kid,2024-10-22T12:52:40.000Z,apalah daya nya mahasiswa tanpa chatgpt di 2024 ini yang ada meninggal duluan,1
???,@???,2025-12-23T09:31:25.000Z,"Baru kali ini gelut sama pekerjaan mahasiswa vibe coders yang beneran cuma modal chatgpt dan ""koding pakai bahasa indonesia"".  Dan beneran sambatnya orang-orang yang harus fixing this issues ternyata tidak mengada-ada",-1
UG FESS,@UG FESS,2025-11-28T05:21:08.000Z,"yuji! Halo guys, ada gak ya anak gundar kwc yang bersedia jadi narasumber? Kriterianya: Sudah memakai ChatGPT 2 tahun dan pernah memakai ChatGPT sebagai teman curhat. Diutamakan mahasiswa tingkat 1, 2, atau 4. Kalau bersedia, boleh bgt rep, nanti aku jajanin",0
catisflyhigh,@catisflyhigh,2023-10-01T14:54:01.000Z,titik terendah mahasiswa adalah nyembah ChatGPT,-1
asha,@asha,2024-04-21T07:52:01.000Z,emang mahasiswa skripsian yg last resortnya minta kembangkan kalimat ke chatgpt siksa kuburnya apa guys,-1
za,@za,2025-05-13T13:53:30.000Z,gimana nasib mahasiswa sblm ada chatgpt ya,1
l,@l,2024-05-29T13:01:09.000Z,"Diduga stress mencari jurnal sendiri, seorang mahasiswa mulai nyari jurnal lewat chatgpt",0
Dunia Kampus ID,@Dunia Kampus ID,2026-02-08T08:57:51.000Z,"Kalau gak skripsian kalian gak bakal tau apa?  Kalau mindun sih�.. Kalau nggak skripsian, gak bakal tau ChatGPT bisa jadi psikolog dadakan, siap dengerin curhatan waktu hilang arah.  Gak cuman aku doang kan ya?",1
Ideavarian,@Ideavarian,2025-05-02T15:14:16.000Z,"Saya mahasiswa Binus kak, waktu denger dia dateng ke Binus dan ngasih buku tutorial prompt CHATGPT di auditorium itu saya kesel banget.",-1
GG.Sunshiners,@GG.Sunshiners,2025-05-03T02:30:20.000Z,"KAMUS CHATGPT?! Seberapa susah pake chatgpt coba, dipikir mahasiswa nya bego semua apa.  Universitas jurusan Komedi yah? Wkwkwkwk",-1
BEM Hima Perpusinfo FIP UPI,@BEM Hima Perpusinfo FIP UPI,2025-11-29T10:30:12.000Z,"Saat ini, mahasiswa bergantung pada teknologi seperti ChatGPT, Gemini, Claude, dan Perplexity untuk mencari informasi akademik. Meskipun teknologi tersebut memberikan kemudahan, penggunaannya tanpa kemampuan verifikasi dapat menimbulkan risiko kesalahan informasi yang serius.",0
ModelUXAI,@ModelUXAI,2025-06-27T04:26:35.000Z,"Dompet mahasiswa/profesional menjerit lihat tagihan bulanan AI?   Langganan ChatGPT, terus mau coba Gemini Advanced, lirik lagi Copilot Pro... Totalnya bisa buat bayar kos!  Padahal, ada cara yang jauh lebih cerdas & hemat.  Ini caranya",1
Nanthera Aurora,@Nanthera Aurora,2026-01-15T01:47:04.000Z,Memang beda kualitas anak anak mahasiswa sekarang setelah lahirnya chatGPT. Kalo di aku pasti ketahuan mana yang pake mana yang murni hasil penalaran mereka sendiri.,-1
_,@_,2024-10-19T11:03:35.000Z,yaa mungkin pematerinya agak naif (?) menganggap mahasiswa bijak make chatgpt. make chatgpt yg bener tuh cuma buat kasih gambaran kasar dan bantu milah2 arah pembahasan. sisanya yaa cari sendiri dari jurnal2. mungkin dosen mikirnya mhsw gitu. sekalipun faktanya plek2an copas,-1
k,@k,2025-04-10T17:51:02.000Z,"udah pada jadi mahasiswa tapi masih aja asal copas dafpus karangan chatgpt, 100% yakin itu sumber ngawur, mana mostly dari tahun 2010 kebawah lagi, pengen tak hih",-1
Rinya,@Rinya,2024-07-14T01:51:33.000Z,"Pengen juga sih, tapi udah gak mahasiswa lagi dulu pernah coba chatgpt permium buat brainstorming ide2 eksperimen dikelas (aku guru soale) dan ada bbrp ide yg baguss and works dikelass.",1
?? ?,@?? ?,2025-04-19T08:59:52.000Z,"Klw aku mahasiswa psikologi semester 8 tahun ini, judul penelitianku bakalan ""efektifitas penggunaan chatgpt generasi gen-z sebagai tempat curhat dibanding psikolog"" kek bikin kuisioner gitu kyknya seru deh",1
violeta,@violeta,2025-01-09T07:23:14.000Z,Pantes ya dosen tuh ada yg emosian menghadapi mahasiswa. Ini aku ngehadapin yg cuma dikit aja udah stress banget  Kyk klo gamau cari informasi lewat google sekarang tuh udah ada chatgpt plisss,1
raka????,@raka????,2025-07-05T16:24:14.000Z,"dikasih tahu chatgpt kalau riwayat publikasi Q1 buat mahasiswa S1 tuh bisa open banyak opportunities kayak kuliah S2 dengan beasiswa ke luar negeri.  Sayangnya aku gak ada duit, nyari beasiswa juga perlu duit.   Percaya aja lah sama Allah dan rencana terbaikNya.",1
HNF DCD,@HNF DCD,2025-09-29T10:18:11.000Z,"Hai guyss, barter yukk. Aku masih perlu banyak.  Kriteria nya: - Mahasiswa aktif/fresh graduate Jabodetabek. - Pernah pake AI chatbot (ChatGPT, Gemini, dll) utk belajar�&�nugas.  Boleh dm/rep yaa Thank�you!",0
alen. ??,@alen. ??,2025-05-05T11:12:28.000Z,"Kelompok tolollll, mahasiswa semester 6 semua udah dapet pengatar kualitatif dan kuantitatif masih ga bisa nyusun daftar pustaka. GA BISA NYUSUN DAFTAR PUSTAKA. TERUS PAKE APA?  CHATGPT ANJINGGGGG, TOLOL BGTTTTTT GUE CAPEK DUA KALI KERJAAAAAA. UDH TUA TP GA ADA OTAAAAKKKK AHHHHH.",-1
Bambang Nur Chaniago,@Bambang Nur Chaniago,2026-01-31T01:39:10.000Z,AI yang populer di kalangan mahasiswa apa bro? chatGPT/Gemini?,0
tunjung utomo,@tunjung utomo,2025-05-25T09:31:05.000Z,"Tips utk pendidik utk memeriksa apakah siswa/mahasiswa menggunakan AI utk mengerjakan soal :  Buka beberapa web AI/LLM yg ngetop sekaligus (ChatGPT, Claude, Gemini, Llama, DeepSeek dll), masukkan pertanyaan soal2 itu, lalu jadikan sbg pembanding saat memeriksa jawaban",0
abjad,@abjad,2025-01-05T07:13:34.000Z,Mahasiswa se chatgpt ini disuruh presentasi sendirian wes lah,-1
zee,@zee,2025-04-27T04:40:58.000Z,list kegiatan mahasiswa semester akhir - ngobrol sama chatgpt - ngobrol sama chatgpt - ngobrol sama chatgpt - ngobrol sama chatgpt - ngobrol sama chatgpt,0
Tata ??,@Tata ??,2024-11-05T14:57:04.000Z,HAHAHAHAHA ANJIR. Mahasiswa sm dosen sama2 pake chatgpt kacau,0
bukan mahasiswa lagi,@bukan mahasiswa lagi,2025-08-20T14:58:34.000Z,"aku kadang merenung gitu, perusahaan gede itu kok bisa stabil cara jualannya gimana ya... sampai nanya ke chatgpt ternyata nemuin jawaban yg masuk akal",1
Vice Versa,@Vice Versa,2024-06-05T08:27:59.000Z,Segala chatGPT ampe ujian online aja copas di chatGPT hasilnya mahasiswa planga plongo,-1
far,@far,2024-11-05T12:50:38.000Z,mending chatgpt berarti dia sendiri kan yg nilai? gue pernah nemu dosen yg ngenilai suru mahasiswa univ lain ((belio dosen ut dan univ lain maybe)) trs rep nya sama semua wkwk tp untungnya kata mahasiswanya nilainya 80 ke atas wkwk,1
bukan mahasiswa lagi,@bukan mahasiswa lagi,2025-03-05T17:34:54.000Z,saran chatgpt selalu ku terima,1
Reina,@Reina,2025-04-29T13:55:04.000Z,bjir gue war flashback baca paper mahasiswa gw yg full pake chatgpt terus sitasinya ngaco,-1
Yuzad,@Yuzad,2025-09-27T18:18:44.000Z,"unpopular opinion: sebenernya presentasi dengan chatgpt tuh bagus karna kita bisa tau dari macem macem teori dan bukan dr satu sumber teori, toh emang kalo dosen jelasin kelen dengerin? jujur""an ae, lagi"" tergantung pengaplikasian mahasiswa sndiri",1
Pahlevi Fikri Auliya,@Pahlevi Fikri Auliya,2025-04-05T05:38:40.000Z,"Buat yang masih mahasiswa, seberapa kebantu ChatGPT buat kuliah ya? Dan hal2 apa saja yang belum kebantu dengan AI?   Sebagai mantan mahasiswa, kok berasa tugas2 itu 10x lebih simple dan lebih cepat ya kalau pake AI?  Kebayangnya: - Laporan praktikum -> tinggal kasih data",1
bukan mahasiswa lagi,@bukan mahasiswa lagi,2025-11-22T05:38:18.000Z,"masa di 2026 besok ada kriteria pasangan, ""harus seperti chatGPT""",0
k-n-r-n,@k-n-r-n,2025-05-05T05:09:11.000Z,"Mamaku dosen ngeliatin mahasiswa presentasi & tanya jawab, langsung ketauan kalo pake chatGPT karena...terlalu canggih dan lancar jawabnya  giliran dikasih studi kasus atau observasi di tempat ngang ngong karena gabisa diAIin",-1
F?L-D1,@F?L-D1,2025-10-09T06:23:04.000Z,"ChatGPT bukan cuma tools startup, tapi juga dipakai pelaku usaha kecil, mahasiswa cari referensi, pegawai yang dikejar deadline. Skill nulis, analisa, dan ambil keputusan jadi makin gampang, modal chat aja.",1
none,@none,2025-06-18T12:57:56.000Z,"once upon a time, chatgpt said:  Gimana bisa kerja malam buat nulis atau bikin modul, kalau siangnya udah habis buat adaptasi, jaga image, ngajar, rapat, mikirin mahasiswa, dan segala bentuk �kerja tapi nggak kelihatan� itu?  monangis",1
Aditya Riky,@Aditya Riky,2025-11-26T03:25:24.000Z,"Ada temen yg juga tutor UT cerita, dia bilang ""Semester ini entah kenapa mahasiswa gue banyak banget yang cinta sama Jacinta Ardem"". Saya tanya kenapa, dia cuma ngasih pertanyaan tugasnya aja, suruh ngecek chatgpt. Pas saya copas ke chatgpt, manggut2 deh liat hasilnya. YTTA",0
laveli jual chatgpt 35k,@laveli jual chatgpt 35k,2025-08-10T00:44:28.000Z,"MALU BANGEEEET gue kan liat mahasiswa tuh kek orang yang harus irit, soalnya suka mikir mereka yang rantau duitnya wajib di hemat. Terus gue ajak ngopi aja tuh mereka, sambil bilang TENANG TAR GUE YANG BAYAR. Taunya itu yang gue bayarin anak dewan semua",0
I.A,@I.A,2025-03-15T08:20:36.000Z,"chatgpt memang sangat ngebantu buat kerjaan sih, cuma jadi pisau mata dua apa lagi buat mahasiswa/pelajar apa-apa bisa pakai chatgpt buar ngerjain soal doang",0
d mahasiswa straight A,@d mahasiswa straight A,2025-04-07T16:44:02.000Z,"hanya gue, Allah, dan chatgpt tau whole this story",1
lin,@lin,2025-03-12T13:10:48.000Z,what?!? dosen fsrd yg ngomong gitu???? kenapa surem banget????   ini ortuku ngomel2 krn banyak mahasiswa yg make chatgpt tuh terlalu word per word kyk bahkan gak ada usaha sekecil proofreading,-1
gama,@gama,2024-12-08T17:33:50.000Z,"Lihat mahasiswa presentasi hasil dari chatgpt  Matanya ke layar mulu, gaya bahasanya kaku  *ini cerita kampus",-1
just wannabe a,@just wannabe a,2025-09-19T03:11:37.000Z,"""saya malah mewajibkan mahasiswa pakai chatgpt"", kalau gue milih dosen ini jd dosbing, TA gue bisa full chatgpt kali ya",1
Professor,@Professor,2025-07-28T13:19:47.000Z,"Ada ya, dosen ngajarin mahasiswanya menulis untuk tujuan publikasi pakai chatgpt.  kata gue mah bego.  Ajarin basicnya dulu. Cara brainstorming ide, cara bikin outline, cara menemukan topik, cara menentukan masalah.  Ngajarin mahasiswa buat tolol. sumpah gw misuh.",-1
puput,@puput,2025-12-23T14:39:39.000Z,Mahasiswa ni ngirain dosennya gak baca satu satu tugasnya kali ya? Pede banget copas chatgpt gak ada diparafrase dikit dikit. Untung moodku lagi bagus. Kalo gak mah udah ku kosongkan nilainya itu.,-1
soy,@soy,2025-03-08T09:07:08.000Z,"ternyata mahasiswa adalah mahasiswa, seorang asdos pun nyari definisi di chatgpt",0
bukan mahasiswa lagi,@bukan mahasiswa lagi,2024-12-28T14:17:53.000Z,"nggak pande ngoding, untung ada chatgpt",1
?,@?,2024-09-05T02:17:16.000Z,dokter lain: �chat gpt & ai lainnya itu cuma bikin kalian jadi males�  dok bernard: mahasiswa itu harus punya chatgpt!!!!   stuju,1
Azure Veenus,@Azure Veenus,2025-04-25T20:39:51.000Z,Gmna ya kabar mahasiswa UI yg pake Chatgpt itu,0
ULM menfess,@ULM menfess,2023-09-24T08:37:11.000Z,"uyy! Halo semua Kami dari Tim PKM-RSH Statistika ULM dengan judul: ""Pengaruh Tren ChatGPT dalam Kualitas Pendidikan pada Capaian Suistainable Development Goals (SDGs) di Indonesia""  Mohon bantuannya dalam ajang Program Kreativitas Mahasiswa 2023 dengan (cont)",1
asaa,@asaa,2024-12-11T16:21:57.000Z,andai dosen-dosen ku bisa diajak berdiskusi tanpa menjudge pertanyaan yang ditanyakan mahasiswa nya (aku) sampai tengah malam sprti ini layaknya chatgpt,1
Ninik Setiawan,@Ninik Setiawan,2025-04-12T01:38:39.000Z,"Hadeh Mbak kalo tamatan SD jangan dongo, paling enggak kan bisa tanya ChatGPT atau Grok definisi DEMOKRASI itu apa   Presiden bukan dosen dan kita bukan mahasiswa, sampe mau beropini aja harus bikin esai resmi perkuliahan dulu.",-1
CEK AI DI KAWALU.ID,@CEK AI DI KAWALU.ID,2025-04-26T17:07:02.000Z,"[cm] kalo pake teknik two stage cluster random sampling (ini di rekomendasiin dosen), bisa gasih yang populasinya ga diketahui? Jadi pake lemeshow itungnya. Bingung bgt.. soalnya subyek aku tuh mahasiswa pengguna chatgpt, belum ada data pastinya",0
Ismail Fahmi,@Ismail Fahmi,2024-11-07T00:36:56.000Z,Kayaknya sering nanya gini ke Chatgpt: bagaimana cara mengajar yang menarik bagi mahasiswa dan mahasisWI,1
sidang di 2025 aamiin,@sidang di 2025 aamiin,2025-08-10T06:00:35.000Z,"apa apa nanya, kek hal simple ngisi form aja nanya jir. kenapa ga nonton youtube atau tanya chatgpt? pick me kali ajg. alay ud jadi mahasiswa, punya hp, punya internet, hal simple aja gabisa mikir.",-1
hmch,@hmch,2025-12-17T03:59:56.000Z,"Dosen: ""makanya kamu jangan kebanyakan chatgpt"" Mahasiswa: ""ada cara lain ga ya, Bu? Saya males baca soalnya"" Dosen: ""Ya Allah""  KOK BISA SABAR BGT BUUUKKK",-1
vn,@vn,2025-08-21T14:10:49.000Z,"Halo all kantor saya lagi butuh intern di bagian integrated marketing. lulusan smk atau mahasiswa akhir bisa apply. Untuk kerjaannya nanti akan handling marketing dengan menggunakan tools AI (Google Veo, Chatgpt, CanvaAI). Yuk dm untuk lebih jelasnya. Sistem kerja Hybrid",1
Kata Aksara,@Kata Aksara,2025-06-04T22:34:57.000Z,"Keinget dulu pas era magang semester 5 dapat project buku full ai, alias prompt chatgpt. Di situlah mahasiswa master chatgpt ini langsung nyablak ke atasan.   Dan, de javunya lagi, ini kudu analisis gambar dari ai atau bukan. KEK ... WTH LAH",0
Akademi Crypto,@Akademi Crypto,2024-11-11T05:07:54.000Z,"Alasannya sederhana, mahasiswa yang biasanya berlangganan merasa ChatGPT bisa membantu tanpa harus berlangganan. Lantas, bagaimana nasib Chegg dan industri pendidikan lainnya? Baca selengkapnya dengan klik link di bio. #AkademiCryptoNews",0
air_jeruk,@air_jeruk,2025-11-12T11:55:50.000Z,"Mahasiswa ki nganggo chatgpt padakno dosene ra ngerti po. Dosene wae sobat kental chatgpt. Mbok yo minim usaha di-edit. Ora ketiplek copy paste. Tulisan sing ono bold bold ning kalimat tertentu, karo tanda �� ki khas gpt bgt, leee.",-1
