isi_tweet,label
gemini lebih enak dan bagus buat dipake mahasiswa daripada chatgpt,1.0
bayangin tar di tahun sekian mahasiswa ngomongnya tapi bu menurut chatgpt bukan tapi bu menurut jurnal yang ditulis oleh xx pada tahun xx,-1.0
kesalahan terbesar dosen adalah mengajarkan mahasiswa menggunakan chatgpt,-1.0
bisa gak ya mahasiswa ini nulisnya jangan pakai chatgpt aku bisa bedain wey mana tulisan asli dan chat gpt,-1.0
mau sujud kepada orang yang menggagas keberadaan ai yang membantu mahasiswa seperti chatgpt,1.0
bagus bgt efisiensi perpus tutup mahasiswa makin susah baca buku copas chatgpt semua orang makin goblok goblok dah,-1.0
selain allah chatgpt juga bersama dengan mahasiswa semester tua yang stress gatau lagi harus nulis apa di tugasnya,1.0
bjir cape bgt ini knp mahasiswa pada make chatgpt kek gamau mikir dikit keliatan banget kalimat bikinan chatgpt isine ga nyambung blas at least dibaca dulu lah jgn asal copy paste tt,-1.0
sedih kalau ada mahasiswa yg pakai chatgpt atau sejenisnya untuk menjawab pertanyaan,-1.0
duh baru baca beberapa personal statement dari orang tapi rasanya gaya bahasa yang dipakai mirip chatgpt ko bisa sih padahal mahasiswa saya juga pakai ai tapi prom yang ditulis gak langsung buatkan kalimat saya mengutamakan teks yang diketik sendiri sepenuhnya,-1.0
keknya ipb sekarang perlu langganan sama chatgpt deh selain langganan ke jurnal biar mahasiswa ngga perlu langganan pribadi,1.0
agak kaget ngoreksi ujian mahasiswa format chatgpt nya keliatan bgt,-1.0
nanya deh ada yang jual chatgpt pro ga sihh butuh,1.0
beli chatgpt plus berapaan ya yg trusted plis duit mahasiswa tiris soalnya,1.0
apalah daya nya mahasiswa tanpa chatgpt di ini yang ada meninggal duluan,1.0
baru kali ini gelut sama pekerjaan mahasiswa vibe coders yang beneran cuma modal chatgpt dan koding pakai bahasa indonesia dan beneran sambatnya orang-orang yang harus fixing this issues ternyata tidak mengada-ada,-1.0
titik terendah mahasiswa adalah nyembah chatgpt,-1.0
emang mahasiswa skripsian yg last resortnya minta kembangkan kalimat ke chatgpt siksa kuburnya apa guys,-1.0
gimana nasib mahasiswa sblm ada chatgpt ya,1.0
kalau gak skripsian kalian gak bakal tau apa kalau mindun sih kalau nggak skripsian gak bakal tau chatgpt bisa jadi psikolog dadakan siap dengerin curhatan waktu hilang arah gak cuman aku doang kan ya,1.0
saya mahasiswa binus kak waktu denger dia dateng ke binus dan ngasih buku tutorial prompt chatgpt di auditorium itu saya kesel banget,-1.0
kamus chatgpt seberapa susah pake chatgpt coba dipikir mahasiswa nya bego semua apa universitas jurusan komedi yah wkwkwkwk,-1.0
dompet mahasiswaprofesional menjerit lihat tagihan bulanan ai langganan chatgpt terus mau coba gemini advanced lirik lagi copilot pro totalnya bisa buat bayar kos padahal ada cara yang jauh lebih cerdas hemat ini caranya,1.0
memang beda kualitas anak anak mahasiswa sekarang setelah lahirnya chatgpt kalo di aku pasti ketahuan mana yang pake mana yang murni hasil penalaran mereka sendiri,-1.0
yaa mungkin pematerinya agak naif menganggap mahasiswa bijak make chatgpt make chatgpt yg bener tuh cuma buat kasih gambaran kasar dan bantu milah arah pembahasan sisanya yaa cari sendiri dari jurnal mungkin dosen mikirnya mhsw gitu sekalipun faktanya plekan copas,-1.0
udah pada jadi mahasiswa tapi masih aja asal copas dafpus karangan chatgpt yakin itu sumber ngawur mana mostly dari tahun kebawah lagi pengen tak hih,-1.0
pengen juga sih tapi udah gak mahasiswa lagi dulu pernah coba chatgpt permium buat brainstorming ide eksperimen dikelas aku guru soale dan ada bbrp ide yg baguss and works dikelass,1.0
klw aku mahasiswa psikologi semester tahun ini judul penelitianku bakalan efektifitas penggunaan chatgpt generasi gen-z sebagai tempat curhat dibanding psikolog kek bikin kuisioner gitu kyknya seru deh,1.0
pantes ya dosen tuh ada yg emosian menghadapi mahasiswa ini aku ngehadapin yg cuma dikit aja udah stress banget kyk klo gamau cari informasi lewat google sekarang tuh udah ada chatgpt plis,1.0
dikasih tahu chatgpt kalau riwayat publikasi q buat mahasiswa s tuh bisa open banyak opportunities kayak kuliah s dengan beasiswa ke luar negeri sayangnya aku gak ada duit nyari beasiswa juga perlu duit percaya aja lah sama allah dan rencana terbaiknya,1.0
kelompok tolol mahasiswa semester semua udah dapet pengatar kualitatif dan kuantitatif masih ga bisa nyusun daftar pustaka ga bisa nyusun daftar pustaka terus pake apa chatgpt anjing tolol bgt gue capek dua kali kerja udh tua tp ga ada otak ah,-1.0
mahasiswa se chatgpt ini disuruh presentasi sendirian wes lah,-1.0
aku kadang merenung gitu perusahaan gede itu kok bisa stabil cara jualannya gimana ya sampai nanya ke chatgpt ternyata nemuin jawaban yg masuk akal,1.0
segala chatgpt ampe ujian online aja copas di chatgpt hasilnya mahasiswa planga plongo,-1.0
mending chatgpt berarti dia sendiri kan yg nilai gue pernah nemu dosen yg ngenilai suru mahasiswa univ lain belio dosen ut dan univ lain maybe trs rep nya sama semua wkwk tp untungnya kata mahasiswanya nilainya ke atas wkwk,1.0
saran chatgpt selalu ku terima,1.0
bjir gue war flashback baca paper mahasiswa gw yg full pake chatgpt terus sitasinya ngaco,-1.0
unpopular opinion sebenernya presentasi dengan chatgpt tuh bagus karna kita bisa tau dari macem macem teori dan bukan dr satu sumber teori toh emang kalo dosen jelasin kelen dengerin jujuran ae lagi tergantung pengaplikasian mahasiswa sndiri,1.0
buat yang masih mahasiswa seberapa kebantu chatgpt buat kuliah ya dan hal apa saja yang belum kebantu dengan ai sebagai mantan mahasiswa kok berasa tugas itu x lebih simple dan lebih cepat ya kalau pake ai kebayangnya - laporan praktikum - tinggal kasih data,1.0
mamaku dosen ngeliatin mahasiswa presentasi tanya jawab langsung ketauan kalo pake chatgpt karenaterlalu canggih dan lancar jawabnya giliran dikasih studi kasus atau observasi di tempat ngang ngong karena gabisa diaiin,-1.0
chatgpt bukan cuma tools startup tapi juga dipakai pelaku usaha kecil mahasiswa cari referensi pegawai yang dikejar deadline skill nulis analisa dan ambil keputusan jadi makin gampang modal chat aja,1.0
once upon a time chatgpt said gimana bisa kerja malam buat nulis atau bikin modul kalau siangnya udah habis buat adaptasi jaga image ngajar rapat mikirin mahasiswa dan segala bentuk kerja tapi nggak kelihatan itu monangis,1.0
hanya gue allah dan chatgpt tau whole this story,1.0
what dosen fsrd yg ngomong gitu kenapa surem banget ini ortuku ngomel krn banyak mahasiswa yg make chatgpt tuh terlalu word per word kyk bahkan gak ada usaha sekecil proofreading,-1.0
lihat mahasiswa presentasi hasil dari chatgpt matanya ke layar mulu gaya bahasanya kaku ini cerita kampus,-1.0
saya malah mewajibkan mahasiswa pakai chatgpt kalau gue milih dosen ini jd dosbing ta gue bisa full chatgpt kali ya,1.0
ada ya dosen ngajarin mahasiswanya menulis untuk tujuan publikasi pakai chatgpt kata gue mah bego ajarin basicnya dulu cara brainstorming ide cara bikin outline cara menemukan topik cara menentukan masalah ngajarin mahasiswa buat tolol sumpah gw misuh,-1.0
mahasiswa ni ngirain dosennya gak baca satu satu tugasnya kali ya pede banget copas chatgpt gak ada diparafrase dikit dikit untung moodku lagi bagus kalo gak mah udah ku kosongkan nilainya itu,-1.0
nggak pande ngoding untung ada chatgpt,1.0
dokter lain chat gpt ai lainnya itu cuma bikin kalian jadi males dok bernard mahasiswa itu harus punya chatgpt stuju,1.0
uyy halo semua kami dari tim pkm-rsh statistika ulm dengan judul pengaruh tren chatgpt dalam kualitas pendidikan pada capaian suistainable development goals sdgs di indonesia mohon bantuannya dalam ajang program kreativitas mahasiswa dengan cont,1.0
andai dosen-dosen ku bisa diajak berdiskusi tanpa menjudge pertanyaan yang ditanyakan mahasiswa nya aku sampai tengah malam sprti ini layaknya chatgpt,1.0
hadeh mbak kalo tamatan sd jangan dongo paling enggak kan bisa tanya chatgpt atau grok definisi demokrasi itu apa presiden bukan dosen dan kita bukan mahasiswa sampe mau beropini aja harus bikin esai resmi perkuliahan dulu,-1.0
kayaknya sering nanya gini ke chatgpt bagaimana cara mengajar yang menarik bagi mahasiswa dan mahasiswi,1.0
apa apa nanya kek hal simple ngisi form aja nanya jir kenapa ga nonton youtube atau tanya chatgpt pick me kali ajg alay ud jadi mahasiswa punya hp punya internet hal simple aja gabisa mikir,-1.0
dosen makanya kamu jangan kebanyakan chatgpt mahasiswa ada cara lain ga ya bu saya males baca soalnya dosen ya allah kok bisa sabar bgt buk,-1.0
halo all kantor saya lagi butuh intern di bagian integrated marketing lulusan smk atau mahasiswa akhir bisa apply untuk kerjaannya nanti akan handling marketing dengan menggunakan tools ai google veo chatgpt canvaai yuk dm untuk lebih jelasnya sistem kerja hybrid,1.0
mahasiswa ki nganggo chatgpt padakno dosene ra ngerti po dosene wae sobat kental chatgpt mbok yo minim usaha di-edit ora ketiplek copy paste tulisan sing ono bold bold ning kalimat tertentu karo tanda ki khas gpt bgt le,-1.0
bangke curhat ama chatgpt jadi makin bikin gak yakin ini gimana nih di saat-saat seperti ini selalu keinget orang yang bilang kalo mahasiswa lack of the ability to make a decision,-1.0
kalo gaada chatgpt kayaknya w nyerah jadi mahasiswa,1.0
peran chatgpt sebagai some one to talk dan support sistem untuk mahasiswa teknologi informasi universitas brawijaya,1.0
kata aku ya kalian mahasiswa gaada alesan buat ga dapet ipk di atas di era chatgpt ini i mean back then kuliah tuh susah bcs ga semua dosen bisa ngajar dan ngejelasin satu sampe kita ngerti but chatgpt sabar bangett ihh,1.0
yaallah udah jadi mahasiswa masa gabisa prafarase lgsg copas gt dsri chatgpt cok lu udh dewasa jir,-1.0
chatgpt emg pemersatu mahasiswa,1.0
barusan malah ada influencer yg ngelist ai buat mahasiswa termasuk chatgpt sama midjourney viewsnya jt coba gila emang normies,-1.0
apa opini kalian ttg org yg ikut lomba essay tapi full dibikinin chatgpt makin sini makin miris jadi budak ai padahal udah mahasiswa rip critical thinking,-1.0
mulai jenuh baca kalimat ngambang was wes wos tipikal chatgpt di paper mahasiswa,-1.0
malass aku lagi periksa logbook praktikum mahasiswa isinya pada pakai chatgpt semua aku cari daftar pustakanya juga cuma jurnal gaib,-1.0
chatgpt ini ganggu banget dah mahasiswa jadinya apa apa chatgpt ada di buku carinya di chatgpt padahal jelas jelas ada di buku dan gue highlight masih aja kekeh cari jawaban di chatgpt,-1.0
gue udah skeptis sama mahasiswa lulusan tahun itu krn banyak bgt celah nilainya hanya formalitas kelas online ga niat dll makin gapercaya krn everything bisa dikerjain pake chatgpt ai,-1.0
dikandani ra ngerti dikandani tak sampluk lambene jedir baru tau rasa udah berasa balik ke jaman dulu sekelas mahasiswa masih percaya persen sama chatgpt dkk buat bikin essay basing segobloknya aku sama basing ga lah mau percaya alat gituan nyet sakit kepala liatnya,-1.0
- sebuah potret mahasiswa yang telah menyelesaikan paper terakhir semester ini meskipun temen satu kelompoknya semuanya pake chatgpt dan ga di parafrasa alhasil mahasiswa ini perlu mengedit paperny lagi hingga pagi,-1.0
klo dosen bleh pake chatgpt knp mahasiswa gk bleh,-1.0
chatgpt copilot for the rescue apalagi hari lagi sudah disuruh ngumpulin materi tapi dasar materinya aja sebagian besar mahasiswa di kelas kagak paham,1.0
miris mahasiswa kakean chatgpt persoalan mindah tabel teko word nang excel ae gaiso dan njaluk tolong sedangkan aku y due jobdesk yg lebih berat loh bro padahal y mek kari ctrl c ctrl v,-1.0
dulu sebelum ada chatgpt kok mahasiswa bisa lulus ya,-1.0
kemaren di kelas saya dan mahasiswa eksplor satu topik particle technology pake chatgpt sekalian ngajarin kalau jawaban chatgpt sering nggak akurat kalau topiknya too specific di akhir kelas ada yg masukin pertanyaan kenapa sih semua cowok sama aja jawabannya menarik,1.0
thanks to chatgpt sudah membantu ngoding mahasiswa yg scriptnya error di siang hari kemudian baru disentuh lagi jam pagi,1.0
chatgpt heronya mahasiswa pecinta deadline,1.0
aku tanpa chatgpt dan internet hanya seoongok mahasiswa yang tidak berguna,-1.0
titik terendah mahasiswa adalah looking for theory in chatgpt gua,-1.0
bocil crytobros ava turn a ungu bilang kuliah ga berguna mahasiswa yang lulus kuliah pake chatgpt were doomed on every ends,-1.0
saya menjadi juri untuk lomba esai pomas banyak mahasiswa yang mengacu pada victor frankel dalam menemukan gagasan tentang makna hidup hebat mereka telah mencoba mencandra hidup dari bacaannya di tengah kegemaran pencarian instan pelajar melalui chatgpt,1.0
eh sekarang kenapa jadi hal wajar ya mahasiswa pada pakai chatgpt anjir tadi adik tingkat pada ngomong kaget dikit soalnya selama ini gw nyari apa ya klau ga di scholar atau scihub,-1.0
universitas fafifu soal ai tapi gak ngasih akses api keys premium buat chatgpt ke mahasiswa mah tendang aja,-1.0
mahasiswa lulusan hasil googling aja udah aneh apalagi hasil chatgpt,-1.0
mahasiswa sekarang pada pake chatgpt what happen to parafrase dan ngarang-tapi-relevan,-1.0
aku benci banget kek skg mahasiswa apa chatgpt babi kek gaada effort samsek skg,-1.0
awowkwkwkw ko ada mahasiswa ngisi diskusi sumber yg dicamtumi ai copas link chatgpt lagi ajg,-1.0
diskusi mahasiswa dikontrol oleh ai materi presentasi dari chatgpt pertanyaan audiens dari chatgpt jawaban pemateri dari chatgpt,-1.0
klo pandangan dosen mengenai chatgpt dan aplikasi ai lainnya gimana ya sekarang mahasiswa pada make untuk tugasnya dan bukankah itu plagiarism memang dulu pas mahasiswa sih masih copy paste tapi adalah edit dikit dipoles dikit dengan otak sedih juga ya,-1.0
ya di uae ada program serupa pemerintah uae memberikan akses gratis ke chatgpt plus untuk seluruh warga dan penduduk melalui kemitraan dengan openai ini bagian dari inisiatif untuk tingkatkan adopsi ai selain itu ada ai for all dengan google untuk mahasiswa,1.0
mengeja jawaban dr pikiran itu lebih indah dibanding dr chatgpt teruntuk mahasiswa-mahasiswa yang sedang dalam diskusi,-1.0
dlu waktu mahasiswa lulus matkul udah syukur puji tuhan skrng mahasiswa aing ga dpt a pada protes he ente modal copas chatgpt lalu merasa layak dapat a,-1.0
kyny jadi mahasiswa jaman skg susah jg ya biar gk tergoda pake chatgpt dkk utk ngoding sehingga mungkin makin susah juga nyari yg jalan berpikirnya runut terstruktur dan terutama efisien,-1.0
ketika ada seorang mahasiswa sedang sidang di depannya ada laptop yang terpampang web chatgpt dan dalam hati ku bilang ah dasar ampas,-1.0
perplexity dan chatgpt sahabat mahasiswa,1.0
anying mahasiswa dan chatgpt ini beneran jadi bestie,1.0
dosen cpns gelar ss bidang ilmu linear lulus cat skor peringkat atas jd bisa dibilang potensi akademik di atas rata dong ya irl tar kl uda masuk ke kampus disuruh jadi panitia jalan sehat dies natalis diminta bikin naskah sambutan buat pejabad ya pake chatgpt,-1.0
upi kelas jam full dengerin temen presentasi dari chatgpt tanya jawab pun pertanyaannya dari chatgpt jawabannya dari chatgpt dosen gak ngasih arahan alesannya kurikulum merdeka tapi materi ga sesuai dikit di goreng indahnya bumsil,-1.0
kekny gw lebih sering berdiskusi sama chatgpt drpd dosen gw,-1.0
njir nilaiku jelek bgt sat dosen apa tidak bisa membedakan jawaban dari chatgpt sama jawaban pure,-1.0
just a random thoughts kalau lo nemu dosen yang waktu nguji penelitian memberikan input berasaskan chatgpt apa yang lo lakukan,-1.0
sejak switch career jadi dosen saya jadi re-learning statistics hari ini nyoba pakai rstudio so far so good karena didukung oleh paid version of chatgpt,1.0
wkwkkw udah ditahap disuruh dosen pake chatgpt,1.0
di ajarin cara pake chatgpt sm dosen ak,1.0
abis lulus nanti aku beneran ga bakal lupain kebaikan ayah dan ibu anak nano dospem dospem dosen penguji buyer nasi ayam buyer ayam marinasi buyer chatgpt buyer nasi tahu sirkel sma flop coffee dan bbrp yg mungkin belum kesebut,1.0
mau chatgpt premium dong tawarin pls abis diledek dosen chatgpt ngaco gara gara ga premium h desperate,-1.0
another kekocakan pagi ini adalah feedback dari dosen gw dari chatgpt,-1.0
iri dah ama anak kuliahan jaman sekarang kalo susah konsultasi ama dosen tinggal tanya prof chatgpt,1.0
sini guys kelas hukper chatgpt lagi diroasting dosen gue seru bgt,-1.0
kemarin pas sidang jawab pertanyaan dosen dengan menurut literatur yang saya baca tapi literaturnya chatgpt,-1.0
pas dosen bilang saya tau loh sebenernya siapa yg pake chatgpt soalnya saya submit juga dada w langsung bunyi opening netflix sumpah,-1.0
yaallah ni dosen ketawa kali ya liat jawaban uts gw yg udh liat chatgpt tp msh ga nyambung,-1.0
stop nanya chatgpt anjay lu tinggal nanya dosen apa susahnya sih biar gk miskom,-1.0
seharusnya kuliah fokus pada pemahaman mendalam dan pengembangan skill bukan sekadar nilai tinggi aktif dengar materi diskusi dengan dosenteman terapkan ilmu di proyek nyata dan gunakan ai seperti chatgpt sebagai pendukung bukan pengganti usaha sendiri itu baru optimal,-1.0
ada ye orang uas k masih pake chatgpt ketauan dosen lagi suru keluar wowkowk,-1.0
ni dosen nyuruh make chatgpt mulu,1.0
kampret banget dosen ga pernah masuk kelas utsnya minta tulis materinya dikasih semua dari chatgpt rill ai gitu mah aku jg bisa bu,-1.0
pengalaman saya selama semester sekali-kali bolos emang ngga masalah apalagi kalo ikut kegiatan yg emang menunjang karir daripada duduk di kelas dan ngga dengerin dosenberakhir scroll tiktok dan shoppe makin kesini kuliah terlalu ngandelin chatgpt dosen atau mahasiswanya,-1.0
culture shock uts pas kuliah cuma mapel per hari soal asli dibagiin sm dosen dosen sendiri yg nyuruh pakai chatgpt boleh open book tbc,1.0
capek bgt sama dosen pengguna chatgpt premium,-1.0
temen gue ngisi form kritik dosen pake chatgpt anying,-1.0
kuliah online yang ngajarin siapa dosen chatgpt si logo bunga melingker itu help me a lot,1.0
dosen gue ngajarnya pake chatgpt bjir,-1.0
dosen mana lagi yg ngajar pake chatgpt dan nontoh kuliah univ lain,-1.0
lebih mudeng belajar lewat chatgpt ketimbang ppt dosen,1.0
setelah dosen-dosen berdiskusi dan menyepakati beberapa hal fundamental tentang penggunaan apps ai untuk kegiatan akademik di fakultas saya pak dekan akhirnya menyusun kebijakan formal dengan cara nyuruh chatgpt bikinin draftnya cerdas memang beliau,1.0
sbnernya yg ngajar siapa sihh ini dosen ku nyuruh ask chatgpt,-1.0
di aku ada matkul yang dosennya bahkan nyuruh kita pakai chatgpt jadii kek di depan kelas pake infocus kita ulas jawaban chatgpt apakah sama dengan pendapat dosen dosennya bilang kalian boleh pake bantuan chat gpt tapii jangan ditelen mentah-mentah kita mengkaji bareng,1.0
penggunaan chatgpt diperbolehkan tapi harus all out kalo setengah kagak diterima dosen mane lagi yang beginii,1.0
lelah terkena plagiat disuruh ketik ulang sama dosen ez dek chatgpt jawabannya,1.0
pernah ga si dosen lu malah ngajarin pake chatgpt,1.0
ini dosen statistik malah suruh pake chatgpt,1.0
bahaya dosen udah pada tau chatgpt,-1.0
sia-sia ak dicaci maki dosen statistik ak karna metpen ak rely on chatgpt bruhh,-1.0
isinya kosong mending tanya pake chatgpt plan-plan pak dosen,-1.0
stop normalisasi dosen pake chatgpt,-1.0
kalo sering make chatgpt coba lah perhatikan kosakatanya perbendaharaan bahasanya khas banget w jadi bisa membedakan mana tulisan hasil chatgpt sama yg hasil bikinan sendiri dosen guru dan pengajar biar ga dikibulin murid mesti familiar dg chatgpt dan ai juga,1.0
the moment lo akhirnya close semua tabs gdrive docs bljr uas ppt canva ms point buat ppt dosen emas notion catetan chatgpt tuh rasanya kyk akhirnya gue bernapas panjang bjir bersih jg laptop dr beban uas wkwkwkwkwkwkwkwkkw,1.0
gue bisa gila kalo belajar ga pake chatgpt how could yall not writing copy paragraf ppt dosen yang kalimatnya membingungkan jelaskan maksud dari paragraf di atas at chatgpt how could yall understand ppt dosen,1.0
buset ada dosen univ sy nulis full pake chatgpt kaga diolah samsek wkwk malu bgt bacanya,-1.0
kok masih ada dosen make chatgpt zero buat deteksi ai,-1.0
keknya omongan dosen bener aku gabisa mikir samsek gara gara kebanyakan chatgpt,-1.0
gue tipe yang tetep pake chatgpt tapi tetep di pahami isinya dan selalu di parafrase selalu dengerin dosen setiap jelasin juga menurut gue yg salah bukan gptnya tapi orangnya skrg tuh tergantung kitany aja ngegunain ai tuh kaya gimana,1.0
bayangin aja dosen lagi nanya di kelas pertanyaannya diketik sama mereka di chatgpt jawabannya padahal suka out of topic dan kepanjangan instead of belajar di luar kelas pake buku mereka lebih suka yg instan akhirnya pas ngejelasin sesuatu knowledgenya limited,1.0
aku kgn sm chatgpt dosen ku melarang keras temenan sama chatgpt,-1.0
kenapasih gak dibalik aja aku biasanya kalau ngerjain pke bmp jurnal sisanya ngawang trus nanti jawabannya aku copas ke chatgpt sayang saya minta kamu adalah dosen universitas x jurusan x dalam mata kuliah x berikan penilaian pada soal dan jawaban ini dgn komentar yg detail,1.0
gw dah ditahap jadi dosbing pribadi adek cewe dua kali dia minta konsul dan bimbingan seminar proposalnya dosen lu mana gw rada esmosi juga dia ni bikin proposal tp gak banyak baca referensi journal tapi lebih banyak minta bantuan chatgpt hadeh,-1.0
suddenly remembered gw sama temen gw lagi presentasi trs ada sesi tanya jawabnya kan trs setelah gw dan temen gw jawab dosen gw bilang coba kita tanya chatgpt ya and started typing on his fuck ass tablet,1.0
alhamdulillah ya allah bisa asistensi bab a trus revisinya ga banyak ya allah masya allah bgt the power of baca jurnal kepepet chatgpt sbg temen diskusi soalnya gua ga punya temen diskusi karna pada beda dosen otomatis yg dikerjainnya beda,1.0
sehabis ngoreksi uts sekarang gua bener tau kalau misal dosen bilang saya tau kalau tulisan kalian ini chatgpt atau bukan itu emang bener keliatan bgt wkwkw bahkan gak perlu baca liat aja udh bisa ketauan,-1.0
cah pie menurutmu nek koncomu wingi pas uas nggae ai chatgpt trus saiki nilaine duwur dewe bar ngunu cahe sombong nde konco ne sing uas e murni nggae uteke dewe enak e di cepu nde dosen ta ga pumpung enek buktine,-1.0
anying dosen pantek capek gue nyari referensi dibilang dr chatgpt kontol,-1.0
first time nemu dosen yang materinya dari chatgpt semua,-1.0
gw sbnrnya gpp sm org yg make chatgpt buat ngebantu mahamim materi kek ato nyari inspirasi gt thats fine i also do that sometimes gw gasukanya sm org yg bnr fully rely on chatgpt for their work yg asal copas aja kaga dibaca lagi terus nnti pas ditanya dosen dia gapaham,-1.0
buset tinggalin nunggas jajan posting sama denger lagu wa nya woi sabar napa kasih kerjaan tuh sudah gila di kejar kejar deadline sama dosen eh di tanbah kerjaan deadline dosen buat gw mau mati not enjoy di kerjain sampe marah berantem gw sama chatgpt,-1.0
gen z kalo jadi dosen udhlah kalian chatgpt aja,1.0
chatgpt lebih fastrespon dan informatif dibanding dosen pembimbing,-1.0
yaampun chatgpt membantu bgt buat brainstorming tadi di kampus aku idealis ceritanya mau ngambil rm yg ini karena kupikir mudah dosen udah bilang jgn tp tetep aku masukin pas ngobrol sama chatgpt dijelasin lebih detail sampe akhirnya aku paham ternyata dosen aku bener wkwk,1.0
njir dikira lihat chatgpt sm dosen pas jawab pertanyaan beliau tdk tau aja si academic achiever ini stop konsisten menyontongerpek sejak kelas smp,-1.0
love chatgpt bgt terimakasi bu dosen sudah mengenalkan,1.0
ngakakak dosen gw nyuruh bikin akun chatgpt,1.0
gue mau marahnya itu sirekap ngabisin dana brp gede trs hasilnya bobrok tim gue ada dosen undp ahlinya machine learning ai trs dia kesel sndri knp udah di masa chatgpt bisa explain things in rupauls style trs lu msh hrs nulis angka gaya robot itupun gagal dibaca,-1.0
tadi make chatgpt d kelas buat jawabin kasus yg dikasi dosen langsung dipuji dongg dibilang bagus rinci detail agak sedih pinteran chatgpt tp seneng jg dipuji bagus jawabannya wkwkw,1.0
